user_id,R,F,M,user_type
264,0.0,0.0,1,潜力活跃用户
335,0.0,0.0,1,潜力活跃用户
697,0.0,0.0,1,潜力活跃用户
752,0.0,0.0,1,潜力活跃用户
784,0.0,0.0,1,潜力活跃用户
854,0.0,0.0,1,潜力活跃用户
941,0.0,0.0,1,潜力活跃用户
1234,0.0,0.0,1,潜力活跃用户
1288,0.0,0.0,1,潜力活跃用户
1290,0.0,0.0,1,潜力活跃用户
1335,0.0,0.0,1,潜力活跃用户
1358,0.0,0.0,1,潜力活跃用户
1368,0.0,0.0,1,潜力活跃用户
1552,0.0,0.0,1,潜力活跃用户
1652,0.0,0.0,1,潜力活跃用户
1973,0.0,0.0,1,潜力活跃用户
2090,0.0,0.0,1,潜力活跃用户
2388,0.0,0.0,1,潜力活跃用户
2523,0.0,0.0,1,潜力活跃用户
2550,0.0,0.0,1,潜力活跃用户
2782,0.0,0.0,1,潜力活跃用户
2906,0.0,0.0,1,潜力活跃用户
2911,0.0,0.0,1,潜力活跃用户
2937,0.0,0.0,1,潜力活跃用户
2986,0.0,0.0,1,潜力活跃用户
2990,0.0,0.0,1,潜力活跃用户
3156,0.0,0.0,1,潜力活跃用户
3418,0.0,0.0,1,潜力活跃用户
3621,0.0,0.0,1,潜力活跃用户
3660,0.0,0.0,1,潜力活跃用户
3804,0.0,0.0,1,潜力活跃用户
3824,0.0,0.0,1,潜力活跃用户
3873,0.0,0.0,1,潜力活跃用户
3884,0.0,0.0,1,潜力活跃用户
3983,0.0,0.0,1,潜力活跃用户
4162,0.0,0.0,1,潜力活跃用户
4283,0.0,0.0,1,潜力活跃用户
4359,0.0,0.0,1,潜力活跃用户
4491,0.0,0.0,1,潜力活跃用户
4520,0.0,0.0,1,潜力活跃用户
4539,0.0,0.0,1,潜力活跃用户
4790,0.0,0.0,1,潜力活跃用户
4799,0.0,0.0,1,潜力活跃用户
5158,0.0,0.0,1,潜力活跃用户
5277,0.0,0.0,1,潜力活跃用户
5327,0.0,0.0,1,潜力活跃用户
5339,0.0,0.0,1,潜力活跃用户
5510,0.0,0.0,1,潜力活跃用户
5546,0.0,0.0,1,潜力活跃用户
5552,0.0,0.0,1,潜力活跃用户
5554,0.0,0.0,1,潜力活跃用户
5619,0.0,0.0,1,潜力活跃用户
5684,0.0,0.0,1,潜力活跃用户
5689,0.0,0.0,1,潜力活跃用户
5732,0.0,0.0,1,潜力活跃用户
